Estado,Municipio,RiscoFogo,FRP
PARÁ,ITUPIRANGA,0.95,24.3
AMAPÁ,MAZAGÃO,0.57,16.9
PARÁ,PACAJÁ,1.0,17.2
PARÁ,NOVO REPARTIMENTO,0.01,15.1
PARÁ,PORTEL,0.65,11.2
PARÁ,PRAINHA,1.0,24.5
PARÁ,PRAINHA,1.0,40.2
PARÁ,ALENQUER,0.63,11.0
MARANHÃO,CIDELÂNDIA,0.3,7.6
RORAIMA,BONFIM,1.0,37.5
RORAIMA,SÃO LUIZ,0.53,45.8
PARÁ,DOM ELISEU,1.0,7.5
MARANHÃO,SANTA LUZIA,0.98,27.7
MARANHÃO,SATUBINHA,1.0,11.8
MARANHÃO,CÂNDIDO MENDES,1.0,19.3
PARÁ,MEDICILÂNDIA,1.0,38.0
PARÁ,ÓBIDOS,0.99,18.0
PARÁ,PORTO DE MOZ,1.0,14.2
AMAPÁ,CALÇOENE,0.96,10.0
PARÁ,PRAINHA,-999.0,17.1
AMAPÁ,VITÓRIA DO JARI,0.25,22.9
MARANHÃO,BOM JARDIM,0.96,10.0
PARÁ,NOVO REPARTIMENTO,0.91,8.0
PARÁ,PORTEL,0.6,18.2
PARÁ,ANAPU,0.74,20.3
PARÁ,TAILÂNDIA,0.48,47.2
MARANHÃO,BOM JESUS DAS SELVAS,0.93,12.4
PARÁ,PACAJÁ,0.88,18.8
MARANHÃO,PAULO RAMOS,1.0,12.2
PARÁ,VISEU,0.97,58.6
PARÁ,GURUPÁ,0.31,16.8
PARÁ,BOM JESUS DO TOCANTINS,0.66,58.0
PARÁ,MOJU,0.0,36.0
PARÁ,NOVO REPARTIMENTO,0.41,23.7
PARÁ,TOMÉ-AÇU,0.97,21.6
PARÁ,PRAINHA,0.94,49.7
PARÁ,IPIXUNA DO PARÁ,0.99,11.9
PARÁ,PACAJÁ,0.81,8.5
PARÁ,OEIRAS DO PARÁ,0.27,23.4
MARANHÃO,MARANHÃOZINHO,1.0,17.2
PARÁ,RONDON DO PARÁ,0.94,30.4
PARÁ,TOMÉ-AÇU,0.92,8.9
PARÁ,ORIXIMINÁ,0.6,6.4
PARÁ,PORTEL,0.65,12.1
PARÁ,CAMETÁ,0.33,21.7
PARÁ,NOVO REPARTIMENTO,0.23,10.0
MARANHÃO,BOM JESUS DAS SELVAS,0.91,6.3
MARANHÃO,CENTRO NOVO DO MARANHÃO,0.83,68.9
MARANHÃO,BREJO DE AREIA,1.0,21.0
MARANHÃO,BOM JARDIM,0.93,12.7
PARÁ,PACAJÁ,0.86,9.1
PARÁ,ÓBIDOS,0.6,210.6
PARÁ,ITUPIRANGA,0.66,16.0
MARANHÃO,SÃO JOÃO BATISTA,1.0,20.5
PARÁ,CURUÁ,0.87,16.7
PARÁ,ANAPU,0.73,10.6
PARÁ,RONDON DO PARÁ,0.43,13.7
PARÁ,SENADOR JOSÉ PORFÍRIO,0.99,11.8
PARÁ,PLACAS,0.91,49.6
PARÁ,OEIRAS DO PARÁ,0.33,5.5
PARÁ,ALMEIRIM,0.87,44.9
PARÁ,PORTEL,0.59,8.4
PARÁ,JURUTI,0.64,23.3
MARANHÃO,BOM JARDIM,0.92,13.4
PARÁ,TAILÂNDIA,0.51,10.5
MARANHÃO,PAULO RAMOS,0.96,22.4
PARÁ,JURUTI,0.65,29.7
PARÁ,PRAINHA,1.0,92.4
MARANHÃO,BOM JARDIM,0.81,12.7
PARÁ,PORTEL,0.55,11.1
PARÁ,PACAJÁ,0.91,7.7
PARÁ,PORTEL,0.6,14.4
PARÁ,ORIXIMINÁ,0.42,32.5
PARÁ,SENADOR JOSÉ PORFÍRIO,0.94,11.5
PARÁ,PORTEL,0.49,6.4
PARÁ,PRAINHA,0.96,286.9
PARÁ,PRAINHA,0.94,21.7
PARÁ,DOM ELISEU,0.68,6.9
PARÁ,MOJU,0.36,26.8
PARÁ,MOJU,0.33,10.2
PARÁ,PRAINHA,0.93,36.0
MARANHÃO,TURILÂNDIA,1.0,18.0
PARÁ,PORTEL,0.67,10.4
PARÁ,ÓBIDOS,0.8,177.6
PARÁ,MOJU,0.32,17.9
PARÁ,SANTARÉM,1.0,39.4
PARÁ,PRAINHA,1.0,3177.0
PARÁ,RONDON DO PARÁ,0.51,7.9
PARÁ,MEDICILÂNDIA,1.0,43.6
PARÁ,SÃO FÉLIX DO XINGU,0.17,18.4
PARÁ,SÃO FÉLIX DO XINGU,0.57,7.8
PARÁ,MOJUÍ DOS CAMPOS,0.98,39.3
PARÁ,SENADOR JOSÉ PORFÍRIO,0.93,21.4
RORAIMA,BONFIM,1.0,32.7
PARÁ,NOVO REPARTIMENTO,0.86,106.2
PARÁ,OEIRAS DO PARÁ,0.28,18.0
PARÁ,MOJU,0.48,6.0
PARÁ,PRAINHA,1.0,19.8
